Latitude,Longitude,Safety Score
52.2721847,-1.5256998,33.192720786841726
52.272517,-1.526155,33.52708376081907
52.2742,-1.52487,46.8958095323062
52.27424,-1.525,46.8958095323062
52.27432,-1.52477,46.8958095323062
52.27435,-1.52474,46.8958095323062
52.27444,-1.52549,47.07939192418363
52.27458,-1.52582,47.34485277939592
52.27472,-1.52606,47.40077652501694
52.27488,-1.52629,47.45065741183305
52.27509,-1.52648,47.942943926016824
52.27517,-1.52654,47.942943926016824
52.27543,-1.52666,48.30191979644284
52.2758,-1.52685,48.22325239743003
52.27585,-1.51667,36.30542734354814
52.27586,-1.51665,36.30542734354814
52.27587,-1.51677,36.30542734354814
52.27593,-1.52691,48.22325239743003
52.27593,-1.51663,36.05560374150516
52.27595,-1.51643,36.05560374150516
52.27598,-1.51715,35.89174745570594
52.27606,-1.52694,48.3267138505903
52.27607,-1.51742,34.96056371193877
52.2760706,-1.5164124,28.108002819703785
52.27608,-1.51758,34.861241729305114
52.27619,-1.51641,36.302963594421115
52.2762555,-1.5348337,30.36807081861652
52.27626,-1.53483,48.4469512257412
52.27627,-1.5342,48.21457909767213
52.27628,-1.5356,48.271575411239006
52.2762849,-1.5356019,32.908979991391675
52.27632,-1.53311,48.47430045885263
52.27632,-1.5322,48.59850757136186
52.27632,-1.52168,34.02738031940188
52.27633,-1.52121,34.082744638918655
52.27633,-1.51851,34.82579719773167
52.27635,-1.53088,48.69728008856024
52.27635,-1.51873,34.53988858910866
52.27637,-1.52971,48.63855700459566
52.27638,-1.52843,42.368796319648915
52.27638,-1.52292,34.46224255331456
52.2763825,-1.5284333,28.747613113542048
52.27641,-1.52057,34.185633293911856
52.27642,-1.52703,48.3417969959177
52.27642,-1.52697,48.231068356884144
52.27643,-1.52409,34.649830190939795
52.27645,-1.52624,36.077963542476496
52.27645,-1.52028,33.906895367608506
52.27645,-1.51993,33.328557792067905
52.27646,-1.52497,35.36925206942973
52.27646,-1.51919,34.29896192632675
52.27648,-1.52008,33.611027341355005
52.277348,-1.518688,27.4984629335104
52.27856,-1.54559,38.39339147342837
52.27856,-1.54535,38.28266283439482
52.27856,-1.54514,37.77015046693475
52.2785643,-1.545145,41.59648634479735
52.2789332,-1.5472643,57.18223458532461
52.2789466,-1.5471869,40.98471550135514
52.27902,-1.54565,38.43870367264688
52.27903,-1.54334,33.176531814934
