Latitude,Longitude,Safety Score
52.268551,-1.570058,65.0
52.268551,-1.562762,29.21819138254544
52.268551,-1.555381,25.698184772525348
52.268551,-1.548171,10.684161741929712
52.268551,-1.540875,33.474530527144374
52.268551,-1.533494,30.342058819032378
52.268551,-1.526155,28.456963551695093
52.268551,-1.518688,21.320692558448254
52.268551,-1.511564,27.663908521519275
52.268551,-1.50414,65.0
52.268551,-1.497617,65.0
52.272517,-1.570058,19.015320727367456
52.272517,-1.562762,22.938591241644797
52.272517,-1.555381,27.007607153692664
52.272517,-1.548171,32.21973331196187
52.272517,-1.540875,16.182930280075848
52.272517,-1.533494,30.647520935171418
52.272517,-1.526155,24.534852915415474
52.272517,-1.518688,21.19346350182414
52.272517,-1.511564,22.06952994639705
52.272517,-1.50414,1.287298054680928
52.272517,-1.497617,24.676543526324167
52.277348,-1.570058,19.180739720757703
52.277348,-1.562762,20.26124295615308
52.277348,-1.555381,17.778603146511216
52.277348,-1.548171,48.066779434460926
52.277348,-1.540875,30.695431927212763
52.277348,-1.533494,27.679797896025562
52.277348,-1.526155,27.882024015257173
52.277348,-1.518688,30.3475660368868
52.277348,-1.511564,32.29096704642495
52.277348,-1.50414,14.77043148576463
52.277348,-1.497617,29.985749558981354
52.281418,-1.570058,18.40182827472199
52.281418,-1.562762,15.354042109142156
52.281418,-1.555381,34.95900039773499
52.281418,-1.548171,46.238450007402605
52.281418,-1.540875,35.451768359217915
52.281418,-1.533494,27.019695532240274
52.281418,-1.526155,30.457598583004607
52.281418,-1.518688,28.569769293121386
52.281418,-1.511564,29.233043358951246
52.281418,-1.50414,11.307987053470859
52.281418,-1.497617,19.628958088799838
52.286249,-1.570058,24.022301329469013
52.286249,-1.562762,20.310772930063113
52.286249,-1.555381,32.493356963028134
52.286249,-1.548171,40.935611184261774
52.286249,-1.540875,34.393633309961864
52.286249,-1.533494,28.369151985366596
52.286249,-1.526155,32.276838784322436
52.286249,-1.518688,32.890468121072566
52.286249,-1.511564,29.77912122762011
52.286249,-1.50414,26.32460911992872
52.286249,-1.497617,65.0
52.290777,-1.570058,11.870522224730768
52.290777,-1.562762,11.312759959010476
52.290777,-1.555381,32.450096847192384
52.290777,-1.548171,36.40890055901155
52.290777,-1.540875,30.56429459721996
52.290777,-1.533494,29.987364844341617
52.290777,-1.526155,29.83400874495661
52.290777,-1.518688,36.47277735657807
52.290777,-1.511564,41.943098150325184
52.290777,-1.50414,65.0
52.290777,-1.497617,65.0
52.295042,-1.570058,11.838741156930334
52.295042,-1.562762,9.395528801398001
52.295042,-1.555381,30.99081879308118
52.295042,-1.548171,42.23372361232621
52.295042,-1.540875,30.73073349693891
52.295042,-1.533494,31.01591797902604
52.295042,-1.526155,28.191312964684712
52.295042,-1.518688,62.70381152088155
52.295042,-1.511564,65.0
52.295042,-1.50414,65.0
52.295042,-1.497617,65.0
