Latitude,Longitude,Year,Num Crimes,Num Public Spaces,Crime Score,Crime Severity Score,Public Space Score,Safety Score,Num Public Space,Severity
52.295042,-1.570058,2021,105,,28.80620685720806,,0.0,13.806206857208055,0.0,6.333333333333333
52.295042,-1.562762,2021,69,,26.580905679284264,,0.0,11.580905679284264,0.0,6.63768115942029
52.295042,-1.555381,2021,61,,28.032130361957567,,0.0467289719626168,28.07885933392018,1.0,6.459016393442623
52.295042,-1.548171,2021,118,,37.63802250851299,,0.0934579439252336,37.73148045243822,2.0,5.198275862068965
52.295042,-1.540875,2021,486,,32.3474154916907,,0.2336448598130841,32.58106035150378,5.0,5.589743589743589
52.295042,-1.533494,2021,628,,30.34865357976328,,1.074766355140187,31.423419934903464,23.0,5.749588138385502
52.295042,-1.526155,2021,279,,27.00678833817008,,0.514018691588785,27.52080702975887,11.0,6.4548736462093865
52.295042,-1.518688,2021,6,,27.9712476467568,,0.0467289719626168,28.017976618719416,1.0,6.5
52.295042,-1.511564,2021,0,,80.0,,0.0,65.0,0.0,0.0
52.295042,-1.50414,2021,0,,80.0,,0.0,65.0,0.0,0.0
52.295042,-1.497617,2021,0,,80.0,,0.0,65.0,0.0,0.0
52.290777,-1.570058,2021,96,,28.32681841519767,,0.0,13.326818415197668,0.0,6.4
52.290777,-1.562762,2021,268,,25.203517190381007,,0.0,10.203517190381008,0.0,6.69811320754717
52.290777,-1.555381,2021,114,,30.481181560781984,,0.0934579439252336,30.57463950470722,2.0,6.114035087719298
52.290777,-1.548171,2021,176,,34.75865098200604,,0.0934579439252336,34.85210892593127,2.0,5.520231213872832
52.290777,-1.540875,2021,895,,29.66620107876533,,1.4018691588785046,31.068070237643827,30.0,5.620967741935484
52.290777,-1.533494,2021,1230,,28.46938859898897,,1.9626168224299063,30.43200542141889,42.0,5.492449664429531
52.290777,-1.526155,2021,256,,27.241877886380045,,0.2803738317757009,27.522251718155744,6.0,6.438735177865612
52.290777,-1.518688,2021,36,,31.561910392648027,,0.1869158878504672,31.74882628049849,4.0,6.03030303030303
52.290777,-1.511564,2021,12,,39.917850419305154,,0.1401869158878504,40.058037335193006,3.0,5.0
52.290777,-1.50414,2021,0,,80.0,,0.0,65.0,0.0,0.0
52.290777,-1.497617,2021,0,,80.0,,0.0,65.0,0.0,0.0
52.286249,-1.570058,2021,95,,38.76975958636966,,0.0,23.76975958636965,0.0,5.073684210526316
52.286249,-1.562762,2021,194,,32.731590007251604,,0.0,17.731590007251604,0.0,5.768041237113402
52.286249,-1.555381,2021,46,,33.64605734100261,,0.0467289719626168,33.692786312965225,1.0,5.760869565217392
52.286249,-1.548171,2021,57,,37.525063728978445,,0.0934579439252336,37.61852167290368,2.0,5.2631578947368425
52.286249,-1.540875,2021,308,,32.61194591819271,,0.0934579439252336,32.70540386211794,2.0,5.696666666666666
52.286249,-1.533494,2021,896,,25.59974172669705,,2.336448598130841,27.93619032482789,50.0,6.220454545454546
52.286249,-1.526155,2021,340,,32.19691640982074,,0.2336448598130841,32.43056126963382,5.0,5.726726726726727
52.286249,-1.518688,2021,192,,31.556112697611944,,0.1401869158878504,31.6962996134998,3.0,5.921465968586388
52.286249,-1.511564,2021,63,,24.997378493870023,,0.0934579439252336,25.090836437795257,2.0,6.841269841269841
52.286249,-1.50414,2021,2,,11.99589252096526,,0.0,-3.004107479034742,0.0,8.5
52.286249,-1.497617,2021,0,,80.0,,0.0,65.0,0.0,0.0
52.281418,-1.570058,2021,14,,28.502970587516195,,0.0,13.502970587516192,0.0,6.428571428571429
52.281418,-1.562762,2021,28,,34.908832396424394,,0.0,19.9088323964244,0.0,5.615384615384615
52.281418,-1.555381,2021,50,,34.47792753931969,,0.0934579439252336,34.57138548324492,2.0,5.653061224489796
52.281418,-1.548171,2021,251,,45.43599038221439,,0.3271028037383177,45.76309318595271,7.0,4.065573770491803
52.281418,-1.540875,2021,318,,34.421341668846345,,0.0934579439252336,34.514799612771576,2.0,5.449685534591195
52.281418,-1.533494,2021,662,,27.29736699254207,,1.02803738317757,28.32540437571964,22.0,6.151840490797546
52.281418,-1.526155,2021,404,,30.40958065152069,,0.2803738317757009,30.6899544832964,6.0,5.916455696202532
52.281418,-1.518688,2021,395,,27.49023313795378,,0.1869158878504672,27.677149025804248,4.0,6.31457800511509
52.281418,-1.511564,2021,232,,26.18680993236054,,0.0467289719626168,26.23353890432315,1.0,6.591304347826087
52.281418,-1.50414,2021,27,,24.773879475916097,,0.0,9.773879475916097,0.0,6.888888888888889
52.281418,-1.497617,2021,10,,39.931542016087626,,0.0,24.931542016087626,0.0,5.0
