Location,Place Name,Place Type,Latitude,Longitude
"52.286249,-1.511564",Radford Road Meadows Nature Reserve,"park, point_of_interest, establishment",52.284817,-1.513545
"52.281418,-1.555381",AM FACILITIES,"painter, park, general_contractor, point_of_interest, establishment",52.2825536,-1.5583888
"52.281418,-1.548171",Leamington Shopping Park,"bus_station, transit_station, point_of_interest, establishment",52.2798043,-1.5474994
"52.281418,-1.548171",Greggs,"bakery, store, food, point_of_interest, establishment",52.2797044,-1.5492102
"52.281418,-1.548171",Ford's Fields,"park, point_of_interest, establishment",52.2816942,-1.5457547
"52.281418,-1.526155",Eagle Recreation Ground and Play Area,"park, point_of_interest, establishment",52.2805,-1.5260454
"52.281418,-1.511564",Sydni Memorial Orchard,"park, point_of_interest, establishment",52.280582,-1.5128145
"52.277348,-1.548171",Sainsbury's,"supermarket, bakery, grocery_or_supermarket, food, store, point_of_interest, establishment",52.2785248,-1.5470748
"52.277348,-1.533494",The Secret Garden,"park, point_of_interest, establishment",52.27849319999999,-1.5306968
"52.277348,-1.518688",The Cake Company,"bakery, point_of_interest, store, food, establishment",52.27796069999999,-1.5175838
"52.277348,-1.511564",Sugar Glaze,"bakery, point_of_interest, store, food, establishment",52.2777029,-1.5104531
"52.277348,-1.511564",Piece of Cake,"bakery, point_of_interest, store, food, establishment",52.277639,-1.5093534
"52.277348,-1.497617",Lewis Road,"bus_station, transit_station, point_of_interest, establishment",52.27701200000001,-1.49408
"52.277348,-1.497617",The Leamington Cupcake Fairy,"bakery, store, food, point_of_interest, establishment",52.27718179999999,-1.4984854
"52.272517,-1.526155",Tracys celebration cakes and supplies,"bakery, store, point_of_interest, food, establishment",52.2724322,-1.5246666
"52.272517,-1.526155",RCcakes,"bakery, store, point_of_interest, food, establishment",52.2722111,-1.522524
"52.272517,-1.526155",Acre Close Park,"park, premise, point_of_interest, establishment",52.27003740000001,-1.5270446
"52.272517,-1.511564",B&S Bake,"bakery, store, food, point_of_interest, establishment",52.2721811,-1.5126776
"52.272517,-1.497617",Radford Semele Recreation Ground,"park, point_of_interest, establishment",52.2747086,-1.4976329
"52.268551,-1.555381",Nightingale Avenue,"bus_station, transit_station, point_of_interest, establishment",52.268028,-1.553911
"52.268551,-1.533494",Medley Grove,"bus_station, transit_station, point_of_interest, establishment",52.26678800000001,-1.534874
"52.268551,-1.526155",Play area,"park, point_of_interest, establishment",52.2701303,-1.528089
"52.268551,-1.526155",Acre Close Park,"park, premise, point_of_interest, establishment",52.27003740000001,-1.5270446
