Location,Place Name,Place Type,Latitude,Longitude
"52.295042, -1.570058",Spinney Hill Chippy & Kebab House,"meal_takeaway, restaurant, food, point_of_interest, establishment",52.29327989999999,-1.5700491
"52.295042, -1.570058",Warwickshire Events Ltd,"bar, point_of_interest, store, establishment",52.2937588,-1.5735892
"52.295042, -1.570058",Oakwood and Blacklow Spinney,"tourist_attraction, park, point_of_interest, establishment",52.29393679999999,-1.5715244
"52.295042, -1.570058",Millbank Park,"park, premise, point_of_interest, establishment",52.2954549,-1.5657662
"52.295042, -1.562762",Millbank Park,"park, premise, point_of_interest, establishment",52.2954549,-1.5657662
"52.295042,-1.555381",Dragon Cottage Play Area,"park, tourist_attraction, point_of_interest, establishment",52.2972958,-1.5551878
"52.295042,-1.548171",Sealand Fish Bar Ltd,"meal_takeaway, restaurant, food, point_of_interest, establishment",52.2922002,-1.5495071
"52.295042,-1.548171",The Fat Pug,"bar, restaurant, food, point_of_interest, establishment",52.29230949999999,-1.5483376
"52.295042,-1.540875",Birtelli's,"meal_delivery, meal_takeaway, restaurant, food, point_of_interest, establishment",52.2934598,-1.5375299
"52.295042,-1.540875",The White Horse,"bar, point_of_interest, establishment",52.2933499,-1.5379739
"52.295042,-1.540875",Moo,"bar, point_of_interest, establishment",52.29232930000001,-1.5383344
"52.295042,-1.540875",The Dell,"park, tourist_attraction, point_of_interest, establishment",52.292454,-1.5424432
"52.295042,-1.540875",Christchurch Gardens,"park, point_of_interest, establishment",52.2941661,-1.5361249
"52.295042,-1.533494",Upper Parade (Stand G),"bus_station, transit_station, point_of_interest, establishment",52.29269940000001,-1.5360032
"52.295042,-1.533494",Upper Parade (Stand J),"bus_station, transit_station, point_of_interest, establishment",52.29260369999999,-1.5357773
"52.295042,-1.533494",Upper Parade (Stand E),"bus_station, transit_station, point_of_interest, establishment",52.2924466,-1.5359613
"52.295042,-1.533494",THE RISING SUN,"meal_takeaway, restaurant, food, point_of_interest, establishment",52.29358370000001,-1.5304066
"52.295042,-1.533494",Subway,"meal_takeaway, restaurant, food, point_of_interest, establishment",52.2922455,-1.5335546
"52.295042,-1.533494",The Kee Lee,"meal_takeaway, restaurant, food, point_of_interest, establishment",52.29291320000001,-1.5313447
"52.295042,-1.533494",Birtelli's,"meal_takeaway, meal_delivery, restaurant, food, point_of_interest, establishment",52.2934598,-1.5375299
"52.295042,-1.533494",Lansdowne Fish Bar,"meal_takeaway, restaurant, food, point_of_interest, establishment",52.2935464,-1.5304125
"52.295042,-1.533494",CS Catering,"meal_takeaway, restaurant, food, point_of_interest, establishment",52.2922404,-1.533587
"52.295042,-1.533494",Grounded Kitchen,"restaurant, meal_takeaway, food, point_of_interest, establishment",52.2919893,-1.5339178
"52.295042,-1.533494",The Fox and Vivian,"bar, restaurant, food, point_of_interest, establishment",52.293616,-1.5337025
"52.295042,-1.533494",The Clarendon Leamington Spa,"bar, point_of_interest, establishment",52.29364520000001,-1.5330788
"52.295042,-1.533494",The Greyhound,"bar, point_of_interest, establishment",52.2933065,-1.5301874
"52.295042,-1.533494",The New Builders Arms,"bar, point_of_interest, establishment",52.2929268,-1.5304714
"52.295042,-1.533494",Been,"bar, restaurant, food, point_of_interest, establishment",52.29262239999999,-1.5335541
"52.295042,-1.533494",Grace & Vine,"bar, food, point_of_interest, establishment",52.29326020000001,-1.5350522
"52.295042,-1.533494",Wildes Wine Bars Limited,"bar, food, point_of_interest, establishment",52.2932105,-1.535681
"52.295042,-1.533494",Hope & Anchor,"bar, point_of_interest, establishment",52.2940207,-1.5301895
"52.295042,-1.533494",Beer Garden,"bar, restaurant, food, point_of_interest, establishment",52.2933065,-1.5301874
"52.295042,-1.533494",Leif Tearooms,"cafe, bar, store, restaurant, food, point_of_interest, establishment",52.29195829999999,-1.5328194
"52.295042,-1.533494",Prince Of Wales Inn,"bar, point_of_interest, establishment",52.291973,-1.5327889
"52.295042,-1.533494",Christchurch Gardens,"park, point_of_interest, establishment",52.2941661,-1.5361249
"52.295042,-1.533494",Rosendale paving and landscaping,"park, general_contractor, point_of_interest, establishment",52.2922404,-1.533587
"52.295042,-1.526155",THE RISING SUN,"meal_takeaway, restaurant, point_of_interest, food, establishment",52.29358370000001,-1.5304066
"52.295042,-1.526155",Greek Gyro and more,"restaurant, meal_takeaway, point_of_interest, food, establishment",52.29345379999999,-1.5257
"52.295042,-1.526155",Lansdowne Fish Bar,"meal_takeaway, restaurant, point_of_interest, food, establishment",52.2935464,-1.5304125
"52.295042,-1.526155",The Holly Bush 24/7 Pub,"bar, restaurant, food, point_of_interest, establishment",52.2927934,-1.5261303
"52.295042,-1.526155",The Greyhound,"bar, point_of_interest, establishment",52.2933065,-1.5301874
"52.295042,-1.526155",Oak House Sports and Social Club,"bar, point_of_interest, establishment",52.291953,-1.5269646
"52.295042,-1.526155",The Somerville Arms,"bar, point_of_interest, establishment",52.2935608,-1.5256048
"52.295042,-1.526155",The Little Cocktail Bar,"bar, food, point_of_interest, establishment",52.2962678,-1.5282849
"52.295042,-1.526155",Hope & Anchor,"bar, point_of_interest, establishment",52.2940207,-1.5301895
"52.295042,-1.526155",Beer Garden,"bar, restaurant, food, point_of_interest, establishment",52.2933065,-1.5301874
"52.295042,-1.526155",Campion Hill Cycle Track,"park, point_of_interest, establishment",52.2941497,-1.521358
"52.295042,-1.518688",Campion Hill Cycle Track,"park, point_of_interest, establishment",52.2941497,-1.521358
"52.290777, -1.570058",Spinney Hill Chippy & Kebab House,"meal_takeaway, restaurant, food, point_of_interest, establishment",52.29327989999999,-1.5700491
"52.290777, -1.570058",T H WHITE Country Store & Garden Machinery,"park, store, point_of_interest, establishment",52.28949979999999,-1.5745466
"52.290777, -1.562762",The Orient,"meal_takeaway, restaurant, food, point_of_interest, establishment",52.28818070000001,-1.5627602
"52.290777, -1.562762",The Elephant & Castle,"bar, point_of_interest, establishment",52.2882371,-1.5633175
"52.290777, -1.562762",Pottertons Field,"park, point_of_interest, establishment",52.29039179999999,-1.5587919
"52.290777, -1.562762",Chopwell Trees,"park, point_of_interest, establishment",52.29234760000001,-1.5583852
"52.290777,-1.555381",Pottertons Field,"park, point_of_interest, establishment",52.29039179999999,-1.5587919
"52.290777,-1.555381",Chopwell Trees,"park, point_of_interest, establishment",52.29234760000001,-1.5583852
"52.290777,-1.548171",Sealand Fish Bar Ltd,"meal_takeaway, restaurant, food, point_of_interest, establishment",52.2922002,-1.5495071
"52.290777,-1.548171",The Fat Pug,"bar, restaurant, food, point_of_interest, establishment",52.29230949999999,-1.5483376
"52.290777,-1.540875",Thai Elephant Restaurant,"meal_takeaway, restaurant, food, point_of_interest, establishment",52.290107,-1.539072
"52.290777,-1.540875",Coco di Mama - Pasta Kitchen - Leamington Spa,"meal_takeaway, store, restaurant, food, point_of_interest, establishment",52.2901298,-1.541228
"52.290777,-1.540875",Bombay Restaurant,"bar, meal_takeaway, restaurant, food, point_of_interest, establishment",52.2901563,-1.5373091
"52.290777,-1.540875",Trof,"cafe, bakery, meal_takeaway, store, restaurant, food, point_of_interest, establishment",52.2922141,-1.5380184
"52.290777,-1.540875",Halikarnas Kebab Shop,"meal_takeaway, restaurant, food, point_of_interest, establishment",52.2903861,-1.5369808
"52.290777,-1.540875",Sombrero Mexican Food,"meal_takeaway, restaurant, food, point_of_interest, establishment",52.2904442,-1.53673
"52.290777,-1.540875",Perfect Pizza,"meal_takeaway, restaurant, food, point_of_interest, establishment",52.2921641,-1.5370683
"52.290777,-1.540875",Raj Fish & Kebab House,"meal_takeaway, restaurant, food, point_of_interest, establishment",52.2921641,-1.5370683
"52.290777,-1.540875",Moo,"bar, point_of_interest, establishment",52.29232930000001,-1.5383344
"52.290777,-1.540875",The White Horse,"bar, point_of_interest, establishment",52.2933499,-1.5379739
"52.290777,-1.540875",Bedford Street Bar,"bar, restaurant, point_of_interest, food, establishment",52.2914123,-1.536887
"52.290777,-1.540875",Altoria Nightclub,"night_club, bar, point_of_interest, establishment",52.2920433,-1.5370982
"52.290777,-1.540875",The Star & Garter,"bar, restaurant, point_of_interest, food, establishment",52.291709,-1.541993
"52.290777,-1.540875",Copper Pot,"bar, restaurant, point_of_interest, food, establishment",52.2920476,-1.537244
"52.290777,-1.540875",Clink Cellar Bar,"bar, night_club, restaurant, point_of_interest, food, establishment",52.2917372,-1.5379442
"52.290777,-1.540875",Sabai Sabai,"bar, restaurant, point_of_interest, food, establishment",52.2903078,-1.5374453
"52.290777,-1.540875",Fizzy Moon Brewhouse & Grill,"bar, restaurant, point_of_interest, food, establishment",52.2902946,-1.5378269
"52.290777,-1.540875",Habano Restaurant Leamington,"cafe, bar, restaurant, point_of_interest, food, establishment",52.291768,-1.537181
"52.290777,-1.540875",Murphy's Bar,"bar, point_of_interest, establishment",52.2903116,-1.5381435
"52.290777,-1.540875",Woodland Tavern,"bar, point_of_interest, establishment",52.2902904,-1.5417882
"52.290777,-1.540875",Tartine bistro & wine bar,"bar, restaurant, point_of_interest, food, establishment",52.290112,-1.538141
"52.290777,-1.540875",Bombay Restaurant,"bar, meal_takeaway, restaurant, point_of_interest, food, establishment",52.2901563,-1.5373091
"52.290777,-1.540875",Voodoo,"bar, point_of_interest, establishment",52.2902958,-1.5378312
"52.290777,-1.540875",Lola Provisions,"liquor_store, cafe, bar, point_of_interest, store, food, establishment",52.289891,-1.5377437
"52.290777,-1.540875",The Neighbourhood,"bar, point_of_interest, establishment",52.2916281,-1.537377
"52.290777,-1.540875",Carisma Tapas & Wine Bar,"bar, restaurant, point_of_interest, food, establishment",52.290326,-1.5370883
"52.290777,-1.540875",HART + CO,"bar, restaurant, point_of_interest, food, establishment",52.2893379,-1.5375736
