Latitude,Longitude,Daytime Score,Evening Score
52.295042,-1.570058,64.5329249840524,44.5329249840524
52.295042,-1.562762,63.377780376285536,43.377780376285536
52.295042,-1.555381,63.39806615919593,43.39806615919593
52.295042,-1.548171,63.25276068489101,43.25276068489101
52.295042,-1.540875,62.14357117296532,42.14357117296532
52.295042,-1.533494,63.385394382166695,43.385394382166695
52.295042,-1.526155,64.97053462379226,44.97053462379226
52.295042,-1.518688,65.00503346078446,45.00503346078447
52.295042,-1.511564,65.24857954545455,45.24857954545455
52.295042,-1.50414,65.09943181818181,45.09943181818182
52.295042,-1.497617,65.0,45.0
52.290777,-1.570058,64.65156806707327,44.65156806707326
52.290777,-1.562762,62.93283629984597,42.93283629984597
52.290777,-1.555381,62.5170889700963,42.5170889700963
52.290777,-1.548171,62.65947476973224,42.65947476973224
52.290777,-1.540875,61.09842731395765,41.09842731395765
52.290777,-1.533494,63.5993231508565,43.5993231508565
52.290777,-1.526155,66.05022350948298,46.05022350948298
52.290777,-1.518688,65.02862423762699,45.02862423762699
52.290777,-1.511564,65.1715472962986,45.1715472962986
52.290777,-1.50414,64.99588911751435,44.99588911751435
52.290777,-1.497617,65.0,45.0
52.286249,-1.570058,65.3483966828995,45.34839668289951
52.286249,-1.562762,64.3944981271296,44.39449812712959
52.286249,-1.555381,63.82641476592037,43.82641476592037
52.286249,-1.548171,63.643457400463646,43.643457400463646
52.286249,-1.540875,60.03003180767973,40.03003180767973
52.286249,-1.533494,61.66651067516687,41.66651067516687
52.286249,-1.526155,64.19836697563518,44.19836697563518
52.286249,-1.518688,63.43967699306085,43.43967699306085
52.286249,-1.511564,65.01629159017006,45.01629159017005
52.286249,-1.50414,64.97706317193845,44.97706317193845
52.286249,-1.497617,65.0,45.0
52.281418,-1.570058,64.92058533521075,44.92058533521074
52.281418,-1.562762,65.11387825175424,45.11387825175424
52.281418,-1.555381,64.49089358089711,44.49089358089712
52.281418,-1.548171,64.52070902634077,44.52070902634076
52.281418,-1.540875,62.07306747195557,42.07306747195557
52.281418,-1.533494,58.23188537566318,38.23188537566318
52.281418,-1.526155,60.247184130583605,40.247184130583605
52.281418,-1.518688,62.56784414723133,42.56784414723133
52.281418,-1.511564,63.20077904991209,43.20077904991209
52.281418,-1.50414,64.23608936684144,44.23608936684145
52.281418,-1.497617,65.05501799939321,45.055017999393215
52.277348,-1.570058,64.77408865308917,44.774088653089166
52.277348,-1.562762,64.6328940612699,44.63289406126989
52.277348,-1.555381,64.06108513683819,44.06108513683818
52.277348,-1.548171,64.65156806707327,44.65156806707326
52.277348,-1.540875,64.5639316373127,44.56393163731271
52.277348,-1.533494,60.1912788029188,40.1912788029188
52.277348,-1.526155,60.12365952655081,40.12365952655081
52.277348,-1.518688,61.99445869571982,41.99445869571982
52.277348,-1.511564,61.96437462075833,41.96437462075833
52.277348,-1.50414,64.03430605580881,44.03430605580881
52.277348,-1.497617,65.05090711690757,45.05090711690757
52.272517,-1.570058,64.93410919048434,44.934109190484335
52.272517,-1.562762,65.08325691775707,45.08325691775706
52.272517,-1.555381,64.85123759199041,44.85123759199042
52.272517,-1.548171,63.78492062180076,43.78492062180076
52.272517,-1.540875,64.83479406204782,44.83479406204783
52.272517,-1.533494,64.99692838555848,44.99692838555848
52.272517,-1.526155,62.40770692009087,42.40770692009087
52.272517,-1.518688,62.1461407783984,42.1461407783984
52.272517,-1.511564,63.51275029950368,43.51275029950368
52.272517,-1.50414,64.75115182502762,44.75115182502762
52.272517,-1.497617,64.96765019915051,44.967650199150505
52.268551,-1.570058,65.0,45.0
52.268551,-1.562762,65.14914772727272,45.14914772727273
52.268551,-1.555381,65.3204263940535,45.32042639405349
52.268551,-1.548171,64.62532624507958,44.62532624507958
52.268551,-1.540875,65.20627951278142,45.20627951278142
52.268551,-1.533494,65.86199930375119,45.86199930375118
52.268551,-1.526155,64.35261866374682,44.35261866374683
52.268551,-1.518688,63.86633238296019,43.86633238296019
52.268551,-1.511564,64.45404757829883,44.45404757829882
52.268551,-1.50414,64.97176108163615,44.97176108163615
52.268551,-1.497617,64.97176108163615,44.97176108163615
52.295042,-1.570058,64.5329249840524,44.5329249840524
52.295042,-1.562762,63.377780376285536,43.377780376285536
52.295042,-1.555381,63.39806615919593,43.39806615919593
52.295042,-1.548171,63.25276068489101,43.25276068489101
52.295042,-1.540875,62.14357117296532,42.14357117296532
52.295042,-1.533494,63.385394382166695,43.385394382166695
52.295042,-1.526155,64.97053462379226,44.97053462379226
52.295042,-1.518688,65.00503346078446,45.00503346078447
52.295042,-1.511564,65.24857954545455,45.24857954545455
52.295042,-1.50414,65.09943181818181,45.09943181818182
52.295042,-1.497617,65.0,45.0
