Latitude,Longitude,Safety Score,Lighting Rating,Crowd Rating,Emergency Rating,Crime Rate,Severity Score,Public Space Score,Year
52.2855,-1.55803,54.53258004024551,,,,,,,
52.28688,-1.53362,38.372106062077336,,,,,,,
52.27925,-1.54465,41.40096736619461,,,,,,,
52.290777,-1.533494,57.99704914060918,,,,,,,
52.27595,-1.51643,44.15434233786807,,,,,,,
52.28569,-1.53394,38.4135744221224,,,,,,,
52.2760706,-1.5164124,34.34681861808576,,,,,,,
52.28398,-1.53755,53.196764575429135,,,,,,,
52.2913,-1.57789,66.57050338533999,,,,,,,
52.28414,-1.53665,51.49918121167912,,,,,,,
52.2843,-1.53489,23.28771639394779,,,,,,,
52.28377,-1.5404,55.39396625933628,,,,,,,
52.2866,-1.54848,56.15154752382043,,,,,,,
52.29140349999999,-1.5782611,52.2166617603768,,,,,,,
52.28624,-1.53316,38.527300164349896,,,,,,,
52.2818,-1.53485,36.35807082780388,,,,,,,
52.28959,-1.55339,44.67884178301515,,,,,,,
52.2851,-1.56291,58.84655788468074,,,,,,,
52.2762849,-1.5356019,40.47943285472362,,,,,,,
52.28728,-1.53574,52.56109184433996,,,,,,,
52.28541,-1.55786,54.53258004024551,,,,,,,
52.28725,-1.53562,52.56046252073089,,,,,,,
52.2899,-1.53796,46.52002353735739,,,,,,,
52.28806,-1.56727,54.99168580645486,,,,,,,
52.28694,-1.53704,47.49151721770558,,,,,,,
52.27543,-1.52666,59.40395554628529,,,,,,,
52.28681,-1.56078,53.48444207959927,,,,,,,
52.2948,-1.53725,43.810071591556245,,,,,,,
52.27632,-1.5322,59.5696754338443,,,,,,,
52.28503,-1.53542,23.04544234104757,,,,,,,
52.28789,-1.54591,54.70428650790701,,,,,,,
52.2875364,-1.541341,38.06567696784997,,,,,,,
52.27641,-1.52057,42.12039062967994,,,,,,,
52.28444,-1.53546,26.73601473182552,,,,,,,
52.28617,-1.55979,57.49972739568643,,,,,,,
52.28582,-1.53308,38.314943807794,,,,,,,
52.29094,-1.57684,66.57050338533999,,,,,,,
52.28051,-1.53824,37.95432733674377,,,,,,,
52.28776,-1.56568,54.74198445004761,,,,,,,
52.28514,-1.53637,22.67848748138251,,,,,,,
52.2907119,-1.5829859,52.2166617603768,,,,,,,
52.28552,-1.56332,58.2107423609308,,,,,,,
52.29034,-1.57535,61.66028848984397,,,,,,,
52.28754,-1.53444,38.68643189660749,,,,,,,
52.2889352,-1.5379752,55.33414269062816,,,,,,,
