Latitude,Longitude,Safety Score
52.295042,-1.570058,34.75617548
52.295042,-1.562762,37.47437414
52.295042,-1.555381,51.17941121
52.295042,-1.548171,40.83982702
52.295042,-1.540875,41.23211333
52.295042,-1.533494,42.12779
52.295042,-1.526155,49.68727485
52.295042,-1.518688,51.99333174
52.295042,-1.511564,65
52.295042,-1.50414,65
52.295042,-1.497617,65
52.290777,-1.570058,35.35878829
52.290777,-1.562762,36.12713487
52.290777,-1.555381,48.05143435
52.290777,-1.548171,42.92508593
52.290777,-1.540875,39.48168896
52.290777,-1.533494,36.65256418
52.290777,-1.526155,49.53344717
52.290777,-1.518688,48.13210801
52.290777,-1.511564,40.05803734
52.290777,-1.50414,65
52.290777,-1.497617,65
52.286249,-1.570058,24.92953872
52.286249,-1.562762,29.61224022
52.286249,-1.555381,45.77085818
52.286249,-1.548171,41.7879732
52.286249,-1.540875,43.26450022
52.286249,-1.533494,44.46903615
52.286249,-1.526155,43.38158554
52.286249,-1.518688,45.95528764
52.286249,-1.511564,54.23350885
52.286249,-1.50414,52.97672429
52.286249,-1.497617,65
52.281418,-1.570058,36.30534706
52.281418,-1.562762,29.70780289
52.281418,-1.555381,44.93095057
52.281418,-1.548171,31.45452163
52.281418,-1.540875,41.3181885
52.281418,-1.533494,44.66683332
52.281418,-1.526155,44.33938808
52.281418,-1.518688,47.28850202
52.281418,-1.511564,50.68346859
52.281418,-1.50414,39.85644741
52.281418,-1.497617,24.93154202
52.277348,-1.570058,31.80100731
52.277348,-1.562762,19.63106852
52.277348,-1.555381,26.17393639
52.277348,-1.548171,30.61961651
52.277348,-1.540875,47.89837702
52.277348,-1.533494,43.9006417
52.277348,-1.526155,45.81767758
52.277348,-1.518688,49.87733459
52.277348,-1.511564,49.34601798
52.277348,-1.50414,27.13373756
52.277348,-1.497617,42.70023667
52.272517,-1.570058,30.31005762
52.272517,-1.562762,18.97672429
52.272517,-1.555381,50.91962903
52.272517,-1.548171,52.66927704
52.272517,-1.540875,35.2322024
52.272517,-1.533494,42.6177286
52.272517,-1.526155,47.62157741
52.272517,-1.518688,55.29427079
52.272517,-1.511564,55.04617527
52.272517,-1.50414,64.95892521
52.272517,-1.497617,61.73380904
52.268551,-1.570058,65
52.268551,-1.562762,65
52.268551,-1.555381,52.7757695
52.268551,-1.548171,36.1596127
52.268551,-1.540875,42.0889239
52.268551,-1.533494,44.81617516
52.268551,-1.526155,45.18627671
52.268551,-1.518688,54.80885649
52.268551,-1.511564,65
52.268551,-1.50414,65
52.268551,-1.497617,65
52.295042,-1.570058,32.38721309
52.295042,-1.562762,32.44066522
52.295042,-1.555381,44.46058865
52.295042,-1.548171,38.60608761
52.295042,-1.540875,43.71380643
52.295042,-1.533494,43.00753166
