Location,Place Name,Place Type,Latitude,Longitude
"52.295042,-1.533494",Birtelli's,"meal_delivery, meal_takeaway, restaurant, point_of_interest, food, establishment",52.2934598,-1.5375299
"52.295042,-1.533494",Everest Indian Take-Away,"restaurant, point_of_interest, food, establishment",52.2928759,-1.530234
"52.295042,-1.533494",Bistrot Pierre - Leamington Spa,"restaurant, point_of_interest, food, establishment",52.2908969,-1.5337387
"52.295042,-1.533494",Warwick Street Kitchen,"cafe, store, restaurant, point_of_interest, food, establishment",52.2920371,-1.5334141
"52.295042,-1.533494",44 - Cafe - Bar - Bistro,"bar, cafe, restaurant, point_of_interest, food, establishment",52.2920533,-1.5317033
"52.295042,-1.533494",Café Royal,"cafe, restaurant, point_of_interest, food, establishment",52.2919053,-1.5352685
"52.295042,-1.533494",Starbucks Coffee,"cafe, store, restaurant, point_of_interest, food, establishment",52.2918175,-1.5349598
"52.295042,-1.533494",The Kee Lee,"meal_takeaway, restaurant, point_of_interest, food, establishment",52.2929132,-1.5313447
"52.295042,-1.533494",Bedford Street Bar,"bar, restaurant, point_of_interest, food, establishment",52.2914123,-1.536887
"52.295042,-1.533494",Copper Pot,"bar, restaurant, point_of_interest, food, establishment",52.2920476,-1.537244
"52.295042,-1.533494",McDonald's,"restaurant, point_of_interest, food, establishment",52.2923217,-1.5360812
"52.295042,-1.533494",Altoria Nightclub,"night_club, bar, point_of_interest, establishment",52.2920433,-1.5370982
"52.295042,-1.533494",Smack,"night_club, point_of_interest, establishment",52.2930287,-1.5368854
"52.295042,-1.533494",Habanaloko salsa dance holidays,"night_club, point_of_interest, establishment",52.2933872,-1.5316588
"52.295042,-1.533494",Clink Cellar Bar,"bar, night_club, restaurant, food, point_of_interest, establishment",52.2917372,-1.5379442
"52.295042,-1.533494",Spinetti’s Rooftop,"night_club, point_of_interest, establishment",52.2920316,-1.5320826
"52.295042,-1.533494","Hammonds Fitted Wardrobes, Sliding Wardrobes and Home Office Furniture","furniture_store, home_goods_store, store, point_of_interest, establishment",52.2934693,-1.5363238
"52.295042,-1.533494",Sharps Fitted Furniture Leamington Spa,"furniture_store, home_goods_store, store, point_of_interest, establishment",52.2933321,-1.5362661
"52.295042,-1.533494",Hastings Drummond Ltd,"furniture_store, home_goods_store, general_contractor, store, point_of_interest, establishment",52.2922404,-1.533587
"52.295042,-1.533494",Tom Howley,"furniture_store, home_goods_store, general_contractor, store, point_of_interest, establishment",52.2930192,-1.5362407
"52.295042,-1.533494",Flying Tiger Copenhagen,"furniture_store, home_goods_store, store, point_of_interest, establishment",52.2921811,-1.5360176
"52.295042,-1.533494",Collective Home Store,"furniture_store, home_goods_store, store, point_of_interest, establishment",52.290905,-1.5333289
"52.295042,-1.533494",Locke & England,"furniture_store, finance, home_goods_store, store, point_of_interest, establishment",52.2930804,-1.5351997
"52.295042,-1.533494",Whartons of Leamington Spa,"furniture_store, home_goods_store, store, point_of_interest, establishment",52.292279,-1.531818
"52.295042,-1.533494",Door & Kitchen Store,"furniture_store, home_goods_store, store, point_of_interest, establishment",52.2925237,-1.5323118
"52.295042,-1.533494",Wonky Tree Furniture®,"furniture_store, home_goods_store, store, point_of_interest, establishment",52.2939506,-1.5317646
"52.295042,-1.533494",BedsForBuilders,"furniture_store, home_goods_store, store, point_of_interest, establishment",52.2931107,-1.5362623
"52.295042,-1.533494",Sofas & Stuff - Leamington Spa,"furniture_store, home_goods_store, store, point_of_interest, establishment",52.2923251,-1.5343718
"52.295042,-1.533494",Aristocraft Kitchens & Bedrooms - Leamington Spa,"furniture_store, home_goods_store, store, point_of_interest, establishment",52.2922581,-1.532818
"52.295042,-1.533494",Oliver Bonas,"clothing_store, furniture_store, jewelry_store, home_goods_store, store, point_of_interest, establishment",52.291964,-1.53576
"52.295042,-1.533494",The Cotswold Company Leamington Spa,"furniture_store, home_goods_store, store, point_of_interest, establishment",52.2917554,-1.5355717
"52.295042,-1.533494",Søstrene Grene,"furniture_store, clothing_store, home_goods_store, store, point_of_interest, establishment",52.2913554,-1.5347492
"52.295042,-1.533494",Lee Longlands,"furniture_store, home_goods_store, store, point_of_interest, establishment",52.291183,-1.5369509
"52.295042,-1.533494",Royale Regents Modern Living,"furniture_store, home_goods_store, store, point_of_interest, establishment",52.2917639,-1.5377192
"52.295042,-1.533494",The Bed Factory(Leamington)Ltd,"furniture_store, home_goods_store, store, point_of_interest, establishment",52.2906451,-1.5327633
"52.295042,-1.533494",Christchurch Gardens,"park, point_of_interest, establishment",52.2941661,-1.5361249
"52.295042,-1.533494",Rosendale paving and landscaping,"general_contractor, park, point_of_interest, establishment",52.2922404,-1.533587
"52.295042,-1.526155",THE RISING SUN,"meal_takeaway, restaurant, food, point_of_interest, establishment",52.2935837,-1.5304066
"52.295042,-1.526155",The Holly Bush 24/7 Pub,"bar, restaurant, food, point_of_interest, establishment",52.2927934,-1.5261303
"52.295042,-1.526155",Everest Indian Take-Away,"restaurant, food, point_of_interest, establishment",52.2928759,-1.530234
"52.295042,-1.526155",The Kee Lee,"meal_takeaway, restaurant, food, point_of_interest, establishment",52.2929132,-1.5313447
"52.295042,-1.526155",Greek Gyro and more,"restaurant, meal_takeaway, food, point_of_interest, establishment",52.2934538,-1.5257
"52.295042,-1.526155",Lansdowne Fish Bar,"meal_takeaway, restaurant, food, point_of_interest, establishment",52.2935464,-1.5304125
"52.295042,-1.526155",Beer Garden,"bar, restaurant, food, point_of_interest, establishment",52.2933065,-1.5301874
"52.295042,-1.526155",NIKARDOS LIMITED,"restaurant, food, point_of_interest, establishment",52.2935374,-1.5304891
"52.295042,-1.526155",The Steamhouse Depot,"restaurant, food, point_of_interest, establishment",52.2942771,-1.5319266
"52.295042,-1.526155",Horry Busde Bar,"bar, restaurant, food, point_of_interest, establishment",52.2978495,-1.5308854
"52.295042,-1.526155",Hearth Onix Bar,"bar, restaurant, food, point_of_interest, establishment",52.2978023,-1.5310437
"52.295042,-1.526155",Habanaloko salsa dance holidays,"night_club, point_of_interest, establishment",52.2933872,-1.5316588
"52.295042,-1.526155",Wonky Tree Furniture®,"furniture_store, home_goods_store, store, point_of_interest, establishment",52.2939506,-1.5317646
"52.295042,-1.526155",Whartons of Leamington Spa,"furniture_store, home_goods_store, store, point_of_interest, establishment",52.292279,-1.531818
"52.295042,-1.526155",Campion Hill Cycle Track,"park, point_of_interest, establishment",52.2941497,-1.521358
"52.295042,-1.518688",Campion Hill Cycle Track,"park, point_of_interest, establishment",52.2941497,-1.521358
"52.295042,-1.518688",Newbold Comyn Horse Route,"park, point_of_interest, establishment",52.2918384,-1.5182996
"52.290777, -1.570058",Spinney Hill Chippy & Kebab House,"meal_takeaway, restaurant, food, point_of_interest, establishment",52.2932799,-1.5700491
"52.290777, -1.570058",Majestic Sweets,"restaurant, food, point_of_interest, establishment",52.2932924,-1.5682568
"52.290777, -1.570058",Magnino Fine Furniture,"furniture_store, home_goods_store, store, point_of_interest, establishment",52.2882009,-1.5691717
"52.290777, -1.570058",Red Office Warwick,"furniture_store, home_goods_store, store, point_of_interest, establishment",52.2900097,-1.5677811
"52.290777, -1.570058",Furniture and Floors for Less,"furniture_store, home_goods_store, store, point_of_interest, establishment",52.2883253,-1.5699503
"52.290777, -1.570058",Leamington Furnishers,"furniture_store, home_goods_store, store, point_of_interest, establishment",52.2882351,-1.5696886
"52.290777, -1.570058",River Spa Vintage,"furniture_store, home_goods_store, store, point_of_interest, establishment",52.2907896,-1.5739185
"52.290777, -1.570058",Bedlam Furniture,"furniture_store, home_goods_store, store, point_of_interest, establishment",52.2882297,-1.5694289
"52.290777, -1.570058",There's No Place Like Home,"furniture_store, home_goods_store, store, point_of_interest, establishment",52.2882297,-1.5694289
"52.290777, -1.570058",Black Tea One Sugar,"furniture_store, home_goods_store, store, point_of_interest, establishment",52.2882009,-1.5691285
"52.290777, -1.570058",T H WHITE Country Store & Garden Machinery,"park, store, point_of_interest, establishment",52.2894998,-1.5745466
"52.290777, -1.570058",Oakwood and Blacklow Spinney,"tourist_attraction, park, point_of_interest, establishment",52.2939368,-1.5715244
"52.290777, -1.562762",The Orient,"meal_takeaway, restaurant, point_of_interest, food, establishment",52.2881807,-1.5627602
"52.290777, -1.562762",The RiverCross Warwick,"restaurant, point_of_interest, food, establishment",52.2887399,-1.5613214
"52.290777, -1.562762",McDonald's Warwick,"restaurant, point_of_interest, food, establishment",52.2866315,-1.5634811
"52.290777, -1.562762",Majestic Sweets,"restaurant, point_of_interest, food, establishment",52.2932924,-1.5682568
"52.290777, -1.562762",YO! Warwick Tesco Kiosk,"meal_takeaway, restaurant, point_of_interest, food, establishment",52.2864463,-1.5635268
"52.290777, -1.562762",Red Office Warwick,"furniture_store, home_goods_store, store, point_of_interest, establishment",52.2900097,-1.5677811
"52.290777, -1.562762",Joseph's Carpets,"furniture_store, home_goods_store, store, point_of_interest, establishment",52.2878731,-1.5633333
"52.290777, -1.562762",Pottertons Field,"park, point_of_interest, establishment",52.2903918,-1.5587919
"52.290777, -1.562762",Chopwell Trees,"park, point_of_interest, establishment",52.2923476,-1.5583852
"52.290777, -1.562762",Millbank Park,"park, premise, point_of_interest, establishment",52.2954549,-1.5657662
"52.290777,-1.555381",Sealand Fish Bar Ltd,"meal_takeaway, restaurant, food, point_of_interest, establishment",52.2922002,-1.5495071
"52.290777,-1.555381",The RiverCross Warwick,"restaurant, food, point_of_interest, establishment",52.2887399,-1.5613214
"52.290777,-1.555381",Pottertons Field,"park, point_of_interest, establishment",52.2903918,-1.5587919
