Latitude,Longitude,Year,Crime Score,Crime Severity Score,Public Space Score,Safety Score
52.295042,-1.570058,2021,0.017970221,0.633333333,0,34.75617548
52.295042,-1.562762,2021,0.011809002,0.663768116,0,37.47437414
52.295042,-1.555381,2021,0.010439843,0.645901639,0.003115265,51.17941121
52.295042,-1.548171,2021,0.020195105,0.519827586,0.00623053,40.83982702
52.295042,-1.540875,2021,0.08317645,0.558974359,0.015576324,41.23211333
52.295042,-1.533494,2021,0.107479035,0.574958814,0.07165109,42.12779
52.295042,-1.526155,2021,0.047749444,0.645487365,0.034267913,49.68727485
52.295042,-1.518688,2021,0.00102687,0.65,0.003115265,51.99333174
52.295042,-1.511564,2021,0,0,0,65
52.295042,-1.50414,2021,0,0,0,65
52.295042,-1.497617,2021,0,0,0,65
52.290777,-1.570058,2021,0.016429916,0.64,0,35.35878829
52.290777,-1.562762,2021,0.045866849,0.669811321,0,36.12713487
52.290777,-1.555381,2021,0.019510525,0.611403509,0.00623053,48.05143435
52.290777,-1.548171,2021,0.030121513,0.552023121,0.00623053,42.92508593
52.290777,-1.540875,2021,0.153174739,0.562096774,0.093457944,39.48168896
52.290777,-1.533494,2021,0.210508301,0.549244966,0.130841121,36.65256418
52.290777,-1.526155,2021,0.04381311,0.643873518,0.018691589,49.53344717
52.290777,-1.518688,2021,0.006161219,0.603030303,0.012461059,48.13210801
52.290777,-1.511564,2021,0.00205374,0.5,0.009345794,40.05803734
52.290777,-1.50414,2021,0,0,0,65
52.290777,-1.497617,2021,0,0,0,65
52.286249,-1.570058,2021,0.016258771,0.507368421,0,24.92953872
52.286249,-1.562762,2021,0.033202122,0.576804124,0,29.61224022
52.286249,-1.555381,2021,0.007872668,0.576086957,0.003115265,45.77085818
52.286249,-1.548171,2021,0.009755263,0.526315789,0.00623053,41.7879732
52.286249,-1.540875,2021,0.052712648,0.569666667,0.00623053,43.26450022
52.286249,-1.533494,2021,0.153345884,0.622045455,0.15576324,44.46903615
52.286249,-1.526155,2021,0.058189286,0.572672673,0.015576324,43.38158554
52.286249,-1.518688,2021,0.032859832,0.592146597,0.009345794,45.95528764
52.286249,-1.511564,2021,0.010782132,0.684126984,0.00623053,54.23350885
52.286249,-1.50414,2021,0.00034229,0.85,0,52.97672429
52.286249,-1.497617,2021,0,0,0,65
52.281418,-1.570058,2021,0.002396029,0.642857143,0,36.30534706
52.281418,-1.562762,2021,0.004792059,0.561538462,0,29.70780289
52.281418,-1.555381,2021,0.008557248,0.565306122,0.00623053,44.93095057
52.281418,-1.548171,2021,0.042957385,0.406557377,0.021806854,31.45452163
52.281418,-1.540875,2021,0.054424097,0.544968553,0.00623053,41.3181885
52.281418,-1.533494,2021,0.113297963,0.615184049,0.068535826,44.66683332
52.281418,-1.526155,2021,0.069142564,0.59164557,0.018691589,44.33938808
52.281418,-1.518688,2021,0.067602259,0.631457801,0.012461059,47.28850202
52.281418,-1.511564,2021,0.039705631,0.659130435,0.003115265,50.68346859
52.281418,-1.50414,2021,0.004620914,0.688888889,0,39.85644741
52.281418,-1.497617,2021,0.00171145,0.5,0,24.93154202
52.277348,-1.570058,2021,0.001198015,0.585714286,0,31.80100731
52.277348,-1.562762,2021,0.00102687,0.433333333,0,19.63106852
52.277348,-1.555381,2021,0.004963204,0.517241379,0,26.17393639
52.277348,-1.548171,2021,0.032346397,0.390710383,0.024922118,30.61961651
52.277348,-1.540875,2021,0.015231901,0.605617978,0.012461059,47.89837702
52.277348,-1.533494,2021,0.074105768,0.588262911,0.021806854,43.9006417
52.277348,-1.526155,2021,0.057846996,0.605405405,0.012461059,45.81767758
52.277348,-1.518688,2021,0.037823036,0.646153846,0.009345794,49.87733459
52.277348,-1.511564,2021,0.027212049,0.632278481,0.009345794,49.34601798
52.277348,-1.50414,2021,0.003594044,0.528571429,0,27.13373756
52.277348,-1.497617,2021,0.003594044,0.533333333,0.012461059,42.70023667
52.272517,-1.570058,2021,0.000513435,0.566666667,0,30.31005762
52.272517,-1.562762,2021,0.00068458,0.425,0,18.97672429
52.272517,-1.555381,2021,0.014547322,0.644705882,0.00623053,50.91962903
52.272517,-1.548171,2021,0.005305494,0.661290323,0.003115265,52.66927704
52.272517,-1.540875,2021,0.004963204,0.631034483,0,35.2322024
52.272517,-1.533494,2021,0.022933425,0.544029851,0.00623053,42.6177286
52.272517,-1.526155,2021,0.026527469,0.609090909,0.012461059,47.62157741
52.272517,-1.518688,2021,0.023618004,0.70729927,0.003115265,55.29427079
52.272517,-1.511564,2021,0.011637857,0.695588235,0.003115265,55.04617527
52.272517,-1.50414,2021,0.000513435,1,0,64.95892521
52.272517,-1.497617,2021,0.001198015,0.771428571,0.00623053,61.73380904
52.268551,-1.570058,2021,0,0,0,65
52.268551,-1.562762,2021,0,0,0,65
52.268551,-1.555381,2021,0.012664727,0.667567568,0.003115265,52.7757695
52.268551,-1.548171,2021,0.008043813,0.644680851,0,36.1596127
52.268551,-1.540875,2021,0.011466712,0.529850746,0.012461059,42.0889239
52.268551,-1.533494,2021,0.007188088,0.561904762,0.012461059,44.81617516
52.268551,-1.526155,2021,0.008557248,0.567346939,0.012461059,45.18627671
52.268551,-1.518688,2021,0.006332364,0.688888889,0.003115265,54.80885649
52.268551,-1.511564,2021,0,0,0,65
52.268551,-1.50414,2021,0,0,0,65
52.268551,-1.497617,2021,0,0,0,65
52.295042,-1.570058,2022,0.020858473,0.604958678,0,32.38721309
52.295042,-1.562762,2022,0.016721255,0.603092784,0,32.44066522
52.295042,-1.555381,2022,0.008619204,0.56,0.003115265,44.46058865
52.295042,-1.548171,2022,0.017927943,0.490196078,0.00623053,38.60608761
52.295042,-1.540875,2022,0.099293225,0.603417266,0.015576324,43.71380643
52.295042,-1.533494,2022,0.124116532,0.598435277,0.07165109,43.00753166
52.295042,-1.526155,2022,0.031891053,0.662702703,0.034267913,51.83949193
52.295042,-1.518688,2022,0,0,0.003115265,80.04672897
52.295042,-1.511564,2022,0,0,0,65
52.295042,-1.50414,2022,0,0,0,65
52.295042,-1.497617,2022,0,0,0,65
52.290777,-1.570058,2022,0.019651784,0.637719298,0,35.0149581
52.290777,-1.562762,2022,0.049474229,0.609059233,0,31.31411982
52.290777,-1.555381,2022,0.017755559,0.555882353,0.00623053,43.77444601
52.290777,-1.548171,2022,0.031891053,0.57,0.00623053,44.23922591
52.290777,-1.540875,2022,0.182209964,0.588035019,0.093457944,39.87300355
52.290777,-1.533494,2022,0.246853991,0.567430208,0.130841121,36.15124053
52.290777,-1.526155,2022,0.034476814,0.629441624,0.018691589,48.89961242
52.290777,-1.518688,2022,0.00551629,0.585714286,0.012461059,46.78558114
