Latitude,Longitude,Safety Score
52.268551,-1.570058,65.0
52.268551,-1.562762,47.31337351
52.268551,-1.555381,53.149663753333336
52.268551,-1.548171,38.691645099999995
52.268551,-1.540875,46.255208100000004
52.268551,-1.533494,49.12114172
52.268551,-1.526155,51.02499434333333
52.268551,-1.518688,58.32011884
52.268551,-1.511564,48.98405437666667
52.268551,-1.50414,65.0
52.268551,-1.497617,65.0
52.272517,-1.570058,30.915087126666663
52.272517,-1.562762,26.781616680000003
52.272517,-1.555381,51.72134046
52.272517,-1.548171,47.41179139
52.272517,-1.540875,33.42037551666667
52.272517,-1.533494,47.633075633333334
52.272517,-1.526155,53.83993998333333
52.272517,-1.518688,57.06609329666666
52.272517,-1.511564,57.16451111666667
52.272517,-1.50414,48.61959836666667
52.272517,-1.497617,55.343112776666665
52.277348,-1.570058,30.72221885333333
52.277348,-1.562762,29.585149763333334
52.277348,-1.555381,31.150629350000003
52.277348,-1.548171,29.618579686666667
52.277348,-1.540875,48.263411213333335
52.277348,-1.533494,47.75409936333333
52.277348,-1.526155,48.666953756666665
52.277348,-1.518688,46.94346495
52.277348,-1.511564,45.68113729
52.277348,-1.50414,34.95672649666667
52.277348,-1.497617,50.04116277333333
52.281418,-1.570058,31.441496413333336
52.281418,-1.562762,33.97765718333333
52.281418,-1.555381,44.258170576666664
52.281418,-1.548171,30.29830246
52.281418,-1.540875,40.36072968
52.281418,-1.533494,46.626796250000005
52.281418,-1.526155,45.17962776666667
52.281418,-1.518688,47.535889723333334
52.281418,-1.511564,48.135184769999995
52.281418,-1.50414,38.262863540000005
52.281418,-1.497617,30.288206476666662
52.286249,-1.570058,24.60326641
52.286249,-1.562762,26.32755115
52.286249,-1.555381,46.981209336666666
52.286249,-1.548171,37.723628633333334
52.286249,-1.540875,40.60841083
52.286249,-1.533494,44.43362443666666
52.286249,-1.526155,44.30797104333334
52.286249,-1.518688,45.25719840333333
52.286249,-1.511564,49.81778384333333
52.286249,-1.50414,50.31454218333334
52.286249,-1.497617,65.0
52.290777,-1.570058,36.593620146666666
52.290777,-1.562762,34.79055279333333
52.290777,-1.555381,46.333957856666665
52.290777,-1.548171,41.400194776666666
52.290777,-1.540875,38.60296973333333
52.290777,-1.533494,35.2805994
52.290777,-1.526155,47.679741166666666
52.290777,-1.518688,43.44858558666667
52.290777,-1.511564,38.212501886666665
52.290777,-1.50414,65.0
52.290777,-1.497617,65.0
52.295042,-1.570058,36.63678922333333
52.295042,-1.562762,39.458076846666664
52.295042,-1.555381,48.41571103333333
52.295042,-1.548171,36.45224213666667
52.295042,-1.540875,42.96627217333333
52.295042,-1.533494,42.17868164666667
52.295042,-1.526155,49.974718849999995
52.295042,-1.518688,70.69559656
52.295042,-1.511564,65.0
52.295042,-1.50414,65.0
52.295042,-1.497617,65.0
